COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Afghanistan,AFG,1,0,0,95,0.51
Albania,ALB,57,15,23,0,0.72
Algeria,DZA,17,53,25,0,0.31
Andorra,AND,46,27,20,2,0.60
Angola,AGO,21,51,20,3,0.34
Antigua and Barbuda,ATG,27,48,12,8,0.39
Argentina,ARG,69,9,17,0,0.82
Armenia,ARM,24,34,32,5,0.45
Australia,AUS,58,16,21,0,0.72
Austria,AUT,50,23,22,0,0.64
Azerbaijan,AZE,14,47,11,23,0.33
Bahamas,BHS,30,47,15,3,0.41
Bahrain,BHR,25,50,20,0,0.37
Bangladesh,BGD,25,50,19,1,0.37
Barbados,BRB,29,49,13,4,0.39
Belarus,BLR,13,56,25,1,0.27
Belgium,BEL,56,19,20,0,0.69
Belize,BLZ,26,48,14,7,0.38
Benin,BEN,13,38,12,33,0.37
Bhutan,BTN,24,50,18,3,0.36
Bolivia,BOL,17,53,21,4,0.31
Bosnia and Herzegovina,BIH,51,21,23,0,0.66
Botswana,BWA,25,41,12,17,0.42
Brazil,BRA,23,50,21,1,0.36
Brunei Darussalam,BRN,24,52,19,0,0.35
Bulgaria,BGR,55,16,24,0,0.71
Burkina Faso,BFA,18,51,12,14,0.33
Burundi,BDI,18,55,16,6,0.31
Cabo Verde,CPV,27,45,9,15,0.41
Cambodia,KHM,25,51,16,3,0.36
Cameroon,CMR,21,33,31,10,0.44
Canada,CAN,58,12,25,0,0.74
Central African Republic,CAF,16,38,16,26,0.38
Chad,TCD,26,49,14,6,0.38
Chile,CHL,33,47,15,0,0.43
China,CHN,17,52,25,1,0.32
Colombia,COL,29,51,15,0,0.38
Comoros,COM,22,38,11,24,0.42
Congo,COG,22,45,18,10,0.38
Costa Rica,CRI,32,46,17,0,0.43
Côte D'Ivoire,CIV,26,44,21,4,0.41
Croatia,HRV,55,15,25,0,0.71
Cuba,CUB,16,60,19,0,0.27
Cyprus,CYP,46,30,19,0,0.58
Czechia,CZE,61,11,23,0,0.76
Denmark,DNK,57,17,21,0,0.71
Djibouti,DJI,24,52,14,5,0.35
Dominica,DMA,8,18,3,67,0.45
Dominican Republic,DOM,31,46,18,0,0.42
