COUNTRY,ISO,SAME,OPPOSE,PARTIAL,ABSENT,COINCIDENCE
Afghanistan,AFG,0,19,2,0,0.05
Albania,ALB,0,14,7,0,0.17
Algeria,DZA,0,19,2,0,0.05
Andorra,AND,0,14,7,0,0.17
Angola,AGO,0,19,2,0,0.05
Antigua and Barbuda,ATG,0,12,3,6,0.1
Argentina,ARG,0,16,5,0,0.12
Armenia,ARM,0,15,6,0,0.14
Australia,AUS,7,4,10,0,0.57
Austria,AUT,0,14,7,0,0.17
Azerbaijan,AZE,0,19,2,0,0.05
Bahamas,BHS,0,18,3,0,0.07
Bahrain,BHR,0,19,2,0,0.05
Bangladesh,BGD,0,19,2,0,0.05
Barbados,BRB,0,13,2,6,0.07
Belarus,BLR,0,16,2,3,0.06
Belgium,BEL,0,13,8,0,0.19
Belize,BLZ,0,19,2,0,0.05
Benin,BEN,0,5,1,15,0.08
Bhutan,BTN,0,18,3,0,0.07
Bolivia,BOL,0,19,2,0,0.05
Bosnia and Herzegovina,BIH,0,13,8,0,0.19
Botswana,BWA,0,18,3,0,0.07
Brazil,BRA,0,18,3,0,0.07
Brunei Darussalam,BRN,0,19,2,0,0.05
Bulgaria,BGR,0,14,7,0,0.17
Burkina Faso,BFA,0,16,2,3,0.06
Burundi,BDI,0,18,1,2,0.03
Cabo Verde,CPV,0,19,2,0,0.05
Cambodia,KHM,0,19,2,0,0.05
Cameroon,CMR,2,1,18,0,0.52
Canada,CAN,20,0,1,0,0.98
Central African Republic,CAF,0,12,6,3,0.17
Chad,TCD,0,12,0,9,0
Chile,CHL,0,19,2,0,0.05
China,CHN,0,19,2,0,0.05
Colombia,COL,0,15,6,0,0.14
Comoros,COM,0,12,0,9,0
Congo,COG,0,19,2,0,0.05
DRC,COD,0,3,2,16,0.2
Costa Rica,CRI,0,18,3,0,0.07
Côte D'Ivoire,CIV,0,19,2,0,0.05
Croatia,HRV,0,13,8,0,0.19
Cuba,CUB,0,19,2,0,0.05
Cyprus,CYP,0,16,5,0,0.12
Czechia,CZE,1,12,8,0,0.24
Denmark,DNK,0,13,8,0,0.19
Djibouti,DJI,0,18,2,1,0.05
Dominica,DMA,0,3,0,18,0
Dominican Republic,DOM,0,18,3,0,0.07
Ecuador,ECU,0,19,2,0,0.05
Egypt,EGY,0,19,2,0,0.05
El Salvador,SLV,0,18,2,1,0.05
Equatorial Guinea,GNQ,0,17,4,0,0.1
Eritrea,ERI,0,18,3,0,0.07
Estonia,EST,0,14,7,0,0.17
Ethiopia,ETH,0,17,4,0,0.1
Fiji,FJI,0,15,6,0,0.14
Finland,FIN,0,14,7,0,0.17
France,FRA,1,13,7,0,0.21
Gabon,GAB,0,15,2,4,0.06
Gambia,GMB,0,19,2,0,0.05
Georgia,GEO,0,12,8,1,0.2
Germany,DEU,1,13,7,0,0.21
Ghana,GHA,0,6,2,13,0.13
Greece,GRC,0,14,7,0,0.17
Grenada,GRD,0,3,0,18,0
Guatemala,GTM,6,7,8,0,0.48
Guinea,GIN,0,19,2,0,0.05
Guinea Bissau,GNB,0,3,0,18,0
Guyana,GUY,0,19,2,0,0.05
Haiti,HTI,0,8,2,11,0.1
Honduras,HND,5,4,12,0,0.52
Hungary,HUN,0,12,9,0,0.21
Iceland,ISL,0,15,6,0,0.14
India,IND,0,18,3,0,0.07
Indonesia,IDN,0,19,2,0,0.05
Iran,IRN,0,19,2,0,0.05
Iraq,IRQ,0,19,2,0,0.05
Ireland,IRL,0,14,7,0,0.17
Israel,ISR,19,0,2,0,0.95
Italy,ITA,0,13,8,0,0.19
Jamaica,JAM,0,17,4,0,0.1
Japan,JPN,0,14,7,0,0.17
