COUNTRY,ISO,SAME,OPPOSITE,PARTIAL,ABSENT,COINCIDENCE
Afghanistan,AFG,12,66,11,11,0.2
Albania,ALB,40,29,29,2,0.56
Algeria,DZA,13,71,16,0,0.21
Andorra,AND,32,38,30,0,0.47
Angola,AGO,12,70,12,6,0.19
Antigua and Barbuda,ATG,15,69,8,8,0.21
Argentina,ARG,19,66,15,0,0.27
Armenia,ARM,16,52,26,6,0.31
Australia,AUS,50,18,31,1,0.66
Austria,AUT,35,38,27,0,0.49
Azerbaijan,AZE,14,70,9,7,0.2
Bahamas,BHS,19,66,10,5,0.25
Bahrain,BHR,17,69,14,0,0.24
Bangladesh,BGD,14,70,16,0,0.22
Barbados,BRB,18,61,11,10,0.26
Belarus,BLR,10,65,20,5,0.21
Belgium,BEL,40,31,27,2,0.55
Belize,BLZ,18,65,12,5,0.25
Benin,BEN,14,70,10,6,0.2
Bhutan,BTN,14,71,14,1,0.21
Bolivia,BOL,11,66,11,12,0.2
Bosnia and Herzegovina,BIH,31,35,32,2,0.48
Botswana,BWA,15,69,9,7,0.21
Brazil,BRA,25,50,24,1,0.37
Brunei Darussalam,BRN,14,70,16,0,0.22
Bulgaria,BGR,41,30,29,0,0.56
Burkina Faso,BFA,13,62,9,16,0.21
Burundi,BDI,9,66,10,15,0.16
Cabo Verde,CPV,15,67,13,5,0.23
Cambodia,KHM,11,76,11,2,0.17
Cameroon,CMR,11,47,36,6,0.31
Canada,CAN,53,22,25,0,0.66
Central African Republic,CAF,13,49,22,16,0.29
Chad,TCD,12,62,12,14,0.21
Chile,CHL,18,68,14,0,0.25
China,CHN,13,71,14,2,0.2
Colombia,COL,19,59,21,1,0.3
Comoros,COM,10,58,11,21,0.2
Congo,COG,7,60,8,25,0.15
Costa Rica,CRI,18,70,10,2,0.23
Cote D'Ivoire,CIV,13,62,23,2,0.25
Croatia,HRV,39,31,30,0,0.54
Cuba,CUB,11,76,10,3,0.16
Cyprus,CYP,33,41,26,0,0.46
Czechia,CZE,44,29,27,0,0.58
DPRK,PRK,5,67,17,11,0.16
Democratic Republic of the Congo,COD,9,32,8,51,0.27
Denmark,DNK,41,30,29,0,0.56
Djibouti,DJI,17,69,12,2,0.23
Dominica,DMA,1,7,1,91,0.32
Dominican Republic,DOM,19,68,11,2,0.25
Ecuador,ECU,17,69,14,0,0.24
Egypt,EGY,15,71,14,0,0.22
El Salvador,SLV,17,70,13,0,0.24
Equatorial Guinea,GNQ,4,16,1,79,0.29
Eritrea,ERI,12,72,13,3,0.19
Estonia,EST,45,30,25,0,0.58
eSwatini,SWZ,10,41,12,37,0.25
Ethiopia,ETH,14,68,14,4,0.22
Fiji,FJI,13,61,21,5,0.25
Finland,FIN,36,34,30,0,0.51
France,FRA,47,27,26,0,0.6
Gabon,GAB,10,65,12,13,0.18
Gambia (Republic of The),GMB,16,69,10,5,0.22
